date,amount,category,description,balance
2026-01-01,250,Food,Starbucks Coffee,4750
2026-01-02,150,Transport,Uber to office,4600
2026-01-03,800,Food,Zomato order,3800
2026-01-04,75,Coffee,Local cafe,3725
2026-01-05,120,Transport,Bus pass,3605
2026-01-06,500,Shopping,Amazon purchase,3105
2026-01-07,200,Food,Swiggy dinner,2905
2026-01-08,60,Coffee,Chai Point,2845
2026-01-09,1500,Bills,Electricity bill,1345
2026-01-10,300,Entertainment,Netflix + Spotify,1045
2026-01-11,180,Food,Pizza Hut,865
2026-01-12,90,Transport,Metro card recharge,775
2026-01-13,50,Coffee,Starbucks latte,725
2026-01-14,400,Shopping,Myntra clothes,325
2026-01-15,2000,Income,Freelance payment,2325
2026-01-16,350,Food,Restaurant dinner,1975
2026-01-17,100,Transport,Ola ride,1875
2026-01-18,85,Coffee,Blue Tokai Coffee,1790
2026-01-19,600,Bills,Mobile recharge,1190
2026-01-20,250,Entertainment,Movie tickets,940
2026-01-21,150,Food,Dominos pizza,790
2026-01-22,75,Transport,Auto rickshaw,715
2026-01-23,45,Coffee,Local tea stall,670
2026-01-24,900,Shopping,Electronics store,0
2026-01-25,5000,Income,Salary credit,5000
2026-01-26,300,Food,BBQ Nation,4700
2026-01-27,200,Transport,Uber rides,4500
2026-01-28,120,Coffee,Third Wave Coffee,4380
2026-01-29,800,Bills,Internet bill,3580
2026-01-25,10000,Income,Extra Salary credit,10000
2026-01-30,400,Entertainment,Concert tickets,3180
2026-01-30,1180,Entertainment,Body massage,6770